"ID","ROI1","ROI2","ROI3","ROI4","ROI5"
"OBSERVATION.537",8153,9119,3520,13304,20509
"OBSERVATION.538",31359,5941,3723,16070,22896
"OBSERVATION.539",67444,5706,3485,17998,19932
"OBSERVATION.540",46756,2691,832,7534,8492
"OBSERVATION.541",91244,5272,3319,18218,24352
"OBSERVATION.542",30792,8204,3043,14980,21982
"OBSERVATION.543",58555,4587,2457,9508,15483
"OBSERVATION.544",19594,6531,2832,12332,21116
"OBSERVATION.545",13001,9025,4293,15208,18290
"OBSERVATION.546",54278,8010,3780,15085,18421
"OBSERVATION.547",46952,7815,3495,8855,17286
"OBSERVATION.548",78646,4408,2483,8091,21331
"OBSERVATION.549",52153,5763,2885,15146,10472
"OBSERVATION.550",62444,4387,2089,16119,10268
"OBSERVATION.551",36955,7001,2723,11901,16514
"OBSERVATION.552",19736,6739,3818,17503,17391
"OBSERVATION.553",16005,8035,3371,11256,13407
"OBSERVATION.554",44500,5589,3156,15694,8467
"OBSERVATION.555",53598,4450,1752,18622,15539
"OBSERVATION.556",55637,5387,2634,7529,9004
"OBSERVATION.557",37702,5809,2387,19722,16280
"OBSERVATION.558",36813,4297,4484,18158,16051
"OBSERVATION.559",24869,7964,5100,16527,19052
"OBSERVATION.560",10373,8572,2711,15546,14491
"OBSERVATION.561",49698,6918,3303,18411,18635
"OBSERVATION.562",19607,4194,1799,12985,13819
"OBSERVATION.563",98984,5518,2880,14035,22156
"OBSERVATION.564",46830,5763,3428,17663,18132
"OBSERVATION.565",28035,7188,3475,26407,27529
"OBSERVATION.566",148209,7003,3112,18753,19918
"OBSERVATION.567",26934,9934,3914,15568,25298
"OBSERVATION.568",25448,6352,4515,19853,22018
"OBSERVATION.569",81893,5442,4126,22389,13913
"OBSERVATION.570",35109,6234,2948,12548,16867
"OBSERVATION.571",15194,4731,2097,16123,16415
"OBSERVATION.572",16452,6116,4798,17213,18337
"OBSERVATION.573",18159,7926,3862,16384,24412
"OBSERVATION.574",9342,8946,3514,14070,14338
"OBSERVATION.575",23870,5511,2514,15869,7056
"OBSERVATION.576",66954,5922,2810,12455,12920
"OBSERVATION.577",8780,7155,4096,20726,20637
"OBSERVATION.578",35765,8792,2927,16744,22858
"OBSERVATION.579",50761,7083,3839,21364,17246
"OBSERVATION.580",49970,5739,2067,13206,16064
"OBSERVATION.581",31236,7855,4457,16449,20682
"OBSERVATION.582",42039,7084,4473,22326,19494
"OBSERVATION.583",117533,8019,2834,19228,22001
"OBSERVATION.584",17687,8366,4398,18213,18376
"OBSERVATION.585",54483,8585,4336,19462,17286
"OBSERVATION.586",12708,7515,3874,17385,15881
"OBSERVATION.587",51145,7124,2705,11748,22433
"OBSERVATION.588",25007,7873,3394,15505,17584
"OBSERVATION.589",142831,6934,1686,17729,21136
"OBSERVATION.590",37301,10256,4219,20165,24572
"OBSERVATION.591",39677,7168,3567,16439,22647
"OBSERVATION.592",19145,6711,3888,19706,19303
"OBSERVATION.593",39511,5209,3290,13921,9892
"OBSERVATION.594",51403,7989,5087,18363,18356
"OBSERVATION.595",16366,6433,2347,19270,19964
"OBSERVATION.596",20486,3363,2535,11265,16847
"OBSERVATION.597",46512,4888,3272,19206,20281
"OBSERVATION.598",20622,5953,2714,15486,16265
"OBSERVATION.599",45149,7424,3918,14139,18047
"OBSERVATION.600",48342,4511,1872,18621,13682
"OBSERVATION.601",36214,6601,2726,15742,19127
"OBSERVATION.602",51918,3793,3044,13809,16706
"OBSERVATION.603",27703,6931,4048,19246,28466
"OBSERVATION.604",84618,5998,3983,23512,27254
"OBSERVATION.605",64768,5391,2837,12077,13156
"OBSERVATION.606",31636,5837,2709,11663,22221
"OBSERVATION.607",60004,5171,3645,12150,20006
"OBSERVATION.608",60595,5886,3890,11533,21229
"OBSERVATION.609",27794,5872,3729,17827,20631
"OBSERVATION.610",25464,5269,2912,14457,13804
"OBSERVATION.611",29282,9174,3789,21618,18876
"OBSERVATION.612",48373,6271,4177,12389,21087
"OBSERVATION.613",39130,5569,4747,14132,15475
"OBSERVATION.614",31590,5835,3460,21643,17158
"OBSERVATION.615",55396,5380,1938,15067,17055
"OBSERVATION.616",30023,5653,2510,14958,19289
"OBSERVATION.617",99070,5466,3138,21095,11180
"OBSERVATION.618",15751,7859,4327,12357,13489
